precio,ubicacion,habitaciones,baños,parqueaderos,area,descripcion,tipo_propiedad,ciudad_final,precio_por_m2
1900000000,"ceja, ofir, fatima",4.0,3.0,1.0,213.89,finca municipio ceja situada vereda tranquila rodeada naturaleza cerca parque principal cuenta hermoso lago casa sola planta excelente lugar seguro apacible ideal disfrutar serenidad entorno,Finca en venta,desconocida,8883070.737294871
445000000,"entre amigos, sabaneta, vegas de doctora",2.0,2.0,1.0,60.0,cuadra parque principal sabaneta cerca droguerias farmacias restaurantes colegios transporte etc,Apartamento en venta,medellin,7416666.666666667
2400000,"ditaires, santa catalina, ferreria",,,0.0,29.0,posiciona negocio local 2860 m ubicado prestigioso mall portal estrella,Local Comercial en arriendo o venta,medellin,82758.62068965517
350000000,"centro, itagui, zona rural",2.0,2.0,1.0,61.0,apartamento cuenta pisos cerámica dan apariencia elegante moderna además tranquilidad tener propio parqueadero privado cuarto util comodidad seguridad ubicado zona segura conveniente fácil acceso necesites dejes pasar oportunidad única vivir apartamento excepcional contáctanos hoy información programar visita,Apartamento en venta,medellin,5737704.918032787
300000000,"galan, americas, igualdad",3.0,2.0,1.0,67.0,acogedor apto tres habitaciones dos baños amplia cocina integral sala comedor garaje cubierto apto excelente ingreso luz natural vista exterior occidente ciudad ubicado edificio ph cerca cc plaza américas parque mundo aventura ubicación estratégica av kra sesenta ocho av boyacá cerca av primero mayo rutas buses alimentadores tm cerca,Apartamento en venta,bogota,4477611.940298508
198000000,"lili, cali, ciudad real",2.0,2.0,0.0,60.0,apartamento sur cali sector ciudad meléndez ubicado valle lili cr ambar,Apartamento en venta,cali,3300000.0
780000000,"chico , chico , chico",3.0,3.0,2.0,144.0,exclusivo apartamento rincón chicó vista exterior ubicado prestigioso sector espectacular apartamento ofrece comodidad elegancia mejores zonas ciudad situado segundo piso cuenta agradable vista exterior espacios amplios bien iluminados dispone tres habitaciones además habitación servicio dos baños completos mas baño social estudio ideal trabajar casa pequeño balcón aporta espacio acogedor disfrutar aire libre apartamento incluye dos garajes brindando comodidad seguridad residentes edificio ofrece excelentes amenidades salón social jardines portería vigilancia 24 7 garantizando tranquilidad seguridad momento pierdas oportunidad vivir zonas exclusivas ciudad contáctanos información agendar visita,Apartamento en venta,desconocida,5416666.666666667
820000000,"chico , chico , santa barbara",3.0,4.0,1.0,152.0,hermoso apartamento amplia terraza privada rincón chicó ubicado exclusivo sector espectacular apartamento primer piso ofrece combinación perfecta confort amplitud ubicación privilegiada área total 152 cuenta tres habitaciones tres baños mas habitación servicio baño distribución funcional acogedora ideal buscan hogar espacioso mejores zonas ciudad mayores atractivos terraza privada 45 gracias cubierta deslizante permite disfrutar luz natural ventilación cualquier momento día además apartamento dispone garaje área construida 107 ubicación inmejorable cerca centros comerciales transporte público servicios salud vías principales garantiza comodidad fácil movilidad oportunidad única vivir estilo tranquilidad,Apartamento en venta,desconocida,5394736.842105263
300000000,"cabanita, zona industrial no. 1, cabana",1.0,2.0,1.0,47.0,espectacular apartamento ubicado barrio san josé obrero ciudad bello cuenta 1 habitaciones 2 baños 1 parqueaderos área construida 47 estrato 4,Apartamento en venta,medellin,6382978.723404256
340000000,"pino, gualanday, aldea verde",3.0,2.0,2.0,72.0,bienvenido oportunidad única vivir estilo comodidad impresionante apartamento encuentra exclusiva unidad residencial todas necesidades deseos vuelven realidad aquí características hacen verdadero tesoro,Apartamento en venta,desconocida,4722222.222222222
